"category","open_data","restricted","id","downloads","likes","license","lastModified"
"automation","false","true","agents-course/course-images","236784","17","UNKNOWN","2025-06-20T09:11:00.000Z"
"eq_text","true","false","anon8231489123/ShareGPT_Vicuna_unfiltered","129014","849","apache-2.0","2023-04-12T05:23:59.000Z"
"eq_text","true","false","HuggingFaceH4/ultrachat_200k","36333","661","mit","2024-10-16T11:52:27.000Z"
"eq_text","false","true","dair-ai/emotion","33088","429","other","2024-08-08T06:10:47.000Z"
"automation","true","false","upstage-isd-agent/scenarios","24732","0","apache-2.0","2026-01-23T09:12:21.000Z"
"eq_text","false","true","ScullyowesHenry/facial_emotion_detection_dataset","23828","0","UNKNOWN","2025-12-12T11:30:13.000Z"
"automation","true","false","gorilla-llm/Berkeley-Function-Calling-Leaderboard","21121","98","apache-2.0","2025-02-14T21:41:10.000Z"
"other","true","false","Anthropic/hh-rlhf","17742","1668","mit","2023-05-26T18:47:34.000Z"
"automation","false","true","yuqing1207/Nemotron-AIQ-Agentic-Safety-Dataset-1.0","13922","0","other","2026-01-12T02:13:05.000Z"
"eq_text","true","false","google-research-datasets/go_emotions","12511","250","apache-2.0","2024-01-04T11:56:51.000Z"
"eq_text","false","true","Eureka-Leo/Emotion.Intelligence","12365","1","UNKNOWN","2026-02-03T09:58:37.000Z"
"automation","false","true","agents-course/unit4-students-scores","12124","12","UNKNOWN","2026-03-07T18:21:08.000Z"
"eq_text","true","false","OpenAssistant/oasst1","11862","1484","apache-2.0","2023-05-02T13:21:21.000Z"
"automation","true","false","jupyter-agent/jupyter-agent-dataset","10654","156","apache-2.0","2025-09-10T14:42:38.000Z"
"automation","true","false","mercor/apex-agents","10259","99","cc-by-4.0","2026-03-03T01:58:34.000Z"
"automation","true","false","agents-course/certificates","10160","69","apache-2.0","2026-03-07T18:44:21.000Z"
"automation","true","false","meta-agents-research-environments/gaia2","10038","37","cc-by-4.0","2025-09-25T09:43:02.000Z"
"automation","true","false","BlueZeros/AgentEHR-Bench","9899","0","apache-2.0","2026-01-23T05:07:38.000Z"
"eq_text","true","false","OpenAssistant/oasst2","9188","285","apache-2.0","2024-01-11T06:09:29.000Z"
"automation","true","false","open-world-agents/vpt-owamcap","9075","5","apache-2.0","2025-07-10T04:59:30.000Z"
"automation","false","true","iamtarun/python_code_instructions_18k_alpaca","7511","330","UNKNOWN","2023-07-27T15:51:36.000Z"
"automation","false","true","nebulonsai/Multilingual-Representative-Agents-Dataset","7509","3","cc-by-nc-4.0","2026-01-02T11:49:21.000Z"
"automation","false","true","analytics-agents-uncertainty/da-code-evaluation-results","7378","0","UNKNOWN","2026-01-19T23:18:55.000Z"
"automation","true","false","glaiveai/glaive-function-calling-v2","7156","490","apache-2.0","2023-09-27T18:04:08.000Z"
"automation","true","false","agentica-org/DeepScaleR-Preview-Dataset","6942","194","mit","2025-02-10T09:51:18.000Z"
"automation","false","true","open-world-agents/D2E-480p","6778","1","cc-by-nc-4.0","2026-03-03T08:05:23.000Z"
"eq_text","false","true","timdettmers/openassistant-guanaco","6493","440","UNKNOWN","2023-05-27T22:40:40.000Z"
"automation","true","false","AIM-SCU/Multi-Cultural-Single-Multi-Agent-Images","6396","2","mit","2025-05-21T20:53:47.000Z"
"automation","true","false","Salesforce/xlam-function-calling-60k","5939","577","cc-by-4.0","2025-01-24T19:25:58.000Z"
"eq_text","false","true","NickL77/Llama3.1-8B-BaldEagle3-Ultrachat","5749","1","UNKNOWN","2025-06-17T22:10:31.000Z"
"automation","true","false","tiny-agents/tiny-agents","5310","34","apache-2.0","2025-09-02T10:28:35.000Z"
"automation","false","true","ai-safety-institute/AgentHarm","5221","48","other","2024-12-19T13:27:30.000Z"
"automation","true","false","Agent-Ark/Toucan-1.5M","5172","195","apache-2.0","2025-10-04T00:51:18.000Z"
"automation","true","false","RUC-NLPIR/Omnimodal-Agent-SFT-2K","4624","4","apache-2.0","2026-03-07T14:28:58.000Z"
"eq_text","false","true","pollen-robotics/reachy-mini-emotions-library","4621","8","UNKNOWN","2025-10-16T10:47:00.000Z"
"other","false","true","facebook/empathetic_dialogues","4515","128","cc-by-nc-4.0","2024-01-18T11:03:15.000Z"
"automation","true","false","NousResearch/hermes-function-calling-v1","4428","381","apache-2.0","2026-01-03T13:32:47.000Z"
"automation","false","true","antgroup/Agentar-DeepFinance-100K","4304","14","UNKNOWN","2025-07-26T13:53:53.000Z"
"eq_text","false","true","NickL77/Qwen2.5-7B-BaldEagle-Ultrachat","4184","0","UNKNOWN","2025-06-05T18:03:47.000Z"
"automation","true","false","agentica-org/DeepCoder-Preview-Dataset","3656","98","mit","2025-04-09T20:43:48.000Z"
"automation","false","true","agentlans/LinguaNova","3620","1","UNKNOWN","2025-01-28T21:26:49.000Z"
"eq_text","true","false","slaab/Coding-Conversational-Dataset-Indic","3607","1","mit","2025-04-07T10:44:58.000Z"
"automation","false","true","open-world-agents/D2E-Original","3545","2","cc-by-nc-4.0","2026-03-03T08:05:43.000Z"
